"time","requesttype","neighborhood","nrequests","nsolved","pcsolved","avgresptime","pcsolvedin3","pcsolvedin5","rankrt","rankpcs3","rankpcs5"
"All time","All","Brighton Beach",75842,73636,97.0913214313968,23.0671747145657,47.8573877271169,58.2869650061971,124,114,102
"All time","All","Bronxdale",90585,88141,97.3019815642766,16.9193197341916,39.8542805100182,52.568306010929,26,156,147
"All time","All","Brooklyn Heights/Cobble Hill",41262,39878,96.6458242450681,23.5912568306011,49.706751975183,58.4920750327178,128,103,98
"All time","All","Brownsville",119120,115328,96.8166554734721,24.0002187839115,39.535762256548,51.2709872397582,137,157,154
"All time","All","Bushwick North",196032,190984,97.4249102187398,23.6119135382555,37.4382753836108,48.8190703558603,129,165,173
"All time","All","Bushwick South",219758,213912,97.3398010538865,22.8702366796897,42.8448566150038,53.2262761765214,118,140,143
"All time","All","Cambria Heights",41867,40461,96.6417464829102,24.0808203878566,59.261470848162,65.3880144266367,140,19,24
"All time","All","Canarsie",129548,125384,96.785747367771,26.9906866866867,55.2358971192145,63.3842282397258,167,52,44
"All time","All","Carroll Gardens/Columbia Street/Red Hook",94803,91844,96.8787907555668,23.9395100909639,54.4930012763309,62.0138603208759,135,64,60
"All time","All","Central Harlem North/Polo Grounds",215872,209521,97.0579788022532,19.6965515922532,36.3363474651645,47.0037800177883,63,173,185
"All time","All","Central Harlem South",140751,136515,96.9904299081356,19.2981887652008,41.7076965705395,51.5598468216922,56,145,152
"All time","All","Charleston/Richmond Valley/Tottenville",44312,42080,94.9629897093338,22.9405672130347,59.022386712403,66.5824155984835,120,21,12
"All time","All","Chinatown",113792,110401,97.0200014060742,20.6792411368298,49.3663877952756,57.3282831833521,85,106,110
"All time","All","Claremont/Bathgate",69382,67698,97.5728575134761,16.6256817202384,38.5373728056268,51.03340924159,23,159,156
"All time","All","Clinton",139356,134946,96.8354430379747,19.2929745778438,45.590430264933,54.4641063176325,55,128,133
"All time","All","Clinton Hill",108637,105553,97.1611881771404,22.7150735822139,47.8336110165045,57.1030127856992,116,115,117
"All time","All","Co-op City",34186,33089,96.7910840695021,22.942328654005,48.4759843210671,54.3351079389224,121,113,134
"All time","All","College Point",55470,54132,97.5878853434289,20.9597227426002,57.9881016765819,63.7966468361276,88,28,38
"All time","All","Corona",62567,60926,97.3772116291336,18.7126240334517,54.7381207345725,61.2639250723225,48,59,69
"All time","All","Crotona Park East",59898,58398,97.4957427626966,17.631689238336,37.0145914721694,48.3204781461818,35,169,175
"All time","All","Crown Heights North",405006,394948,97.5165800012839,25.4613047755458,35.5641644815139,48.087682651615,157,180,177
"All time","All","Crown Heights South",144944,141625,97.7101501269456,24.5387192719684,34.6326857269014,47.6625455348272,145,184,183
"All time","All","Cypress Hills/City Line",117191,114173,97.4247169151215,23.8552064892858,47.7186814687135,57.6639844356649,134,116,107
"All time","All","Douglas Manor/Douglaston/Little Neck",51219,49236,96.1283898553271,26.645029054411,54.0834455963607,60.1144106679162,165,65,81
"All time","All","DUMBO/Vinegar Hill/Downtown Brooklyn/Boerum Hill",98749,95294,96.5012303922065,21.4436284495143,54.5970085773021,61.9591084466678,95,62,61
"All time","All","Dyker Heights",65986,63932,96.8872185008941,27.8748771128659,55.9664171187828,63.5316582305338,176,43,42
"All time","All","East Concourse/Concourse Village",207732,203131,97.7851269905455,16.5435367932218,33.7805441626711,47.0693008299155,21,187,184
"All time","All","East Elmhurst",48651,47404,97.4368461079937,18.6323302469136,57.3986146225155,63.7088651826273,46,32,39
"All time","All","East Flatbush/Farragut",129413,125010,96.5977142945454,26.94051811975,42.0320987845116,52.729633035321,166,143,145
"All time","All","East Flushing",45128,43770,96.9907817762808,25.2073179263543,57.6427051941145,63.9425633752881,155,29,36
"All time","All","East Harlem North",127602,123881,97.083901506246,17.1933432060402,40.6294572185389,50.7131549662231,29,154,157
"All time","All","East Harlem South",88824,86195,97.0402143564802,17.6271434886805,41.9177249392056,52.0174727551112,34,144,149
"All time","All","East New York",246307,239621,97.2855014270808,23.1945025647948,43.9991555254215,54.5603657224521,125,136,130
"All time","All","East New York (Pennsylvania Ave)",91902,89478,97.3624077822028,23.633980670016,37.048159996518,49.0337533459555,130,168,170
"All time","All","East Tremont",132195,129007,97.5884110594198,15.2723133892029,35.1208442074209,47.9231438405386,7,182,180
"All time","All","East Village",145370,141010,97.000756689826,19.9952663563026,48.9901630322625,57.3268212148311,69,108,111
"All time","All","East Williamsburg",87587,85187,97.25986733191,22.5155845550082,54.6930480550767,62.0845559272495,113,61,58
"All time","All","Eastchester/Edenwald/Baychester",68291,65788,96.3348025362054,23.7985939968404,51.7549896765313,59.6623273930679,133,91,88
"All time","All","Elmhurst",124464,121333,97.4844131636457,20.3317986571583,48.6976153747268,56.2331276513691,77,110,122
"All time","All","Elmhurst/Maspeth",56418,54983,97.4564855188061,19.6467419378644,58.8446949555107,65.4861923499592,61,24,22
"All time","All","Erasmus",120216,117633,97.8513675384308,25.3280718650655,37.5424236374526,49.9658947228322,156,162,161
"All time","All","Far Rockaway/Bayswater",105102,102108,97.151338699549,19.8883237593745,41.3674335407509,50.5290099141786,66,149,159
"All time","All","Flatbush",342341,333992,97.5612035952457,25.5257331217775,36.3094107921634,49.0519686511402,158,175,169
"All time","All","Flatlands",125236,121100,96.6974352422626,26.1050665692752,56.9269219713181,64.2858283560638,163,36,34
"All time","All","Flushing",113664,110782,97.4644566441441,20.2600422446348,48.5650689752252,56.9925394144144,74,111,118
"All time","All","Fordham South",107544,105003,97.6372461504129,15.6943379957846,31.1807260284163,44.6561407423938,9,190,187
"All time","All","Forest Hills",148658,144029,96.8861413445627,21.2908119883349,50.0114356442304,58.465067470301,92,102,99
"All time","All","Fort Greene",53946,52022,96.4334705075446,22.4600424810492,51.6127238349461,60.0174248322397,110,92,82
"All time","All","Fresh Meadows/Utopia",28125,27194,96.6897777777778,27.5511511360639,56.928,63.5342222222222,173,35,41
"All time","All","Ft. Totten/Bay Terrace/Clearview",26528,25591,96.4678829915561,22.6800485633347,56.981302774427,63.1559107358263,115,34,47
"All time","All","Georgetown/Marine Park/Bergen Beach/Mill Basin",89941,86474,96.1452507755084,29.7905067350866,61.5092115942674,67.1762599926619,182,6,8
"All time","All","Glen Oaks/Floral Park/New Hyde Park",34445,32907,95.5349107272463,31.1792949883962,55.5842647699231,61.7448105675715,186,47,65
"All time","All","Glendale",76914,74541,96.9147359388408,22.2802935749946,59.3962087526328,65.4653249083392,105,17,23
"All time","All","Gramercy",66405,63772,96.0349371282283,20.3205387839683,46.1365861004442,54.7594307657556,76,126,129
"All time","All","Grasmere/Arrochar/Ft. Wadsworth",30949,29780,96.2228181847556,17.7465968225523,61.7144334227277,68.9198358589938,36,5,2
"All time","All","Gravesend",47673,46316,97.1535250561114,20.2177530298067,57.0574539047259,65.3682377865878,73,33,25
"All time","All","Great Kills",81193,76468,94.1805328045521,29.9710208944036,59.8536819676573,66.5685465495794,183,14,13
"All time","All","Greenpoint",90648,88011,97.0909451945989,24.1917133697733,49.5278439678757,58.4546818462625,142,105,100
"All time","All","Grymes Hill/Clifton/Fox Hills",43832,42285,96.4706150757438,14.6194521539761,55.0100383281621,65.0803066252966,3,54,26
"All time","All","Hamilton Heights",229772,223189,97.134985986108,21.4633202205816,33.1528645787999,43.9679334296607,96,188,189
"All time","All","Hammels/Arverne/Edgemere",71208,69212,97.1969441635771,17.9812127281151,46.4793281653747,54.1835187057634,40,124,137
"All time","All","Highbridge",126177,123685,98.0249966317158,17.3490637374074,36.3188219723087,48.8258557423302,30,174,172
"All time","All","Hollis",54166,52791,97.4615072185504,19.9671393981321,49.5292249750766,57.2370121478418,68,104,114
"All time","All","Homecrest",92526,89900,97.1618788232497,24.5922013986014,52.9353911333031,61.5610747249422,147,79,67
"All time","All","Hudson Yards/Chelsea/Flatiron/Union Square",198159,191853,96.8177069928694,19.3790123199216,48.4923722869009,56.7428176363425,57,112,120
"All time","All","Hunters Point/Sunnyside/West Maspeth",172585,167841,97.2512095489179,18.7793799436312,50.9134629313092,58.4106382362314,50,96,101
"All time","All","Hunts Point",96843,94685,97.7716510227895,16.6074079751243,36.6087378540524,47.9053726134052,22,171,181
"All time","All","Jackson Heights",170662,165963,97.246604399339,20.1900250595929,50.6099776165754,58.0492435340029,71,98,105
"All time","All","Jamaica",135496,132023,97.4368247033123,18.3384014506905,50.4258428293086,57.6695991025565,42,100,106
"All time","All","Jamaica Estates/Holliswood",55464,53791,96.983629020626,21.7462663850998,54.75984422328,62.0817106591663,101,58,59
"All time","All","Kensington/Ocean Parkway",76568,74603,97.4336537456901,24.0097009001251,47.6164977536308,58.1600668686658,138,117,104
"All time","All","Kew Gardens",54897,53419,97.3076853015647,19.712080460641,52.669544783868,60.7410240996776,64,81,73
"All time","All","Kew Gardens Hills",77188,74663,96.7287661294502,22.4241784581024,46.7391304347826,55.4814219826916,108,123,127
"All time","All","Kingsbridge Heights",101051,98731,97.7041295979258,16.3544520897564,35.3860921712798,48.2479144194516,18,181,176
"All time","All","Laurelton",50691,49000,96.6641021088556,21.5804350088459,57.6196958039889,64.1632636957251,99,30,35
"All time","All","Lenox Hill/Roosevelt Island",108220,104967,96.9940861208649,19.6509826369014,44.9833672149325,54.5130290149695,62,133,131
"All time","All","Lincoln Square",89207,86274,96.7121414238793,18.7628000418055,46.8741242279193,56.1704798950755,49,121,123
"All time","All","Lindenwood/Howard Beach",59514,57419,96.4798198743153,22.3675433546809,57.4049803407602,63.5228685687401,106,31,43
"All time","All","Longwood",73535,71663,97.4542734752159,16.3571166233473,34.5114571292582,48.0832256748487,19,185,178
"All time","All","Lower East Side",96118,93331,97.1004390436755,18.3415032326421,50.8146236917123,59.017041553091,43,97,93
"All time","All","Madison",89834,87118,96.9766458133891,27.4526908722296,53.4218669991317,62.6633568582051,172,72,51
"All time","All","Manhattanville",74144,72250,97.4455114372033,18.5288011878495,37.473025463962,47.8757552870091,45,163,182
"All time","All","Marble Hill/Inwood",141976,138058,97.2403786555474,18.8487640841995,39.2587479574013,49.3808812757086,51,158,165
"All time","All","Mariner's Harbor/Arlington/Port Ivory/Graniteville",65880,63631,96.5862173649059,14.6970711699298,56.3524590163934,65.0683060109289,4,40,28
"All time","All","Maspeth",73967,72007,97.3501696702584,20.6550414316062,62.9050792921168,68.2047399516,83,2,5
"All time","All","Melrose South/Mott Haven North",78444,76203,97.1431849472235,17.4967379437062,37.9710366630972,49.6417826729896,32,160,163
"All time","All","Middle Village",81718,79068,96.7571404097017,24.142785641868,60.8507305611983,66.4113169681098,141,7,14
"All time","All","Midtown/Midtown South",217865,209535,96.176531338214,19.8546917146063,46.7674936313772,54.264797007321,65,122,135
"All time","All","Midwood",124245,120711,97.1556199444646,28.2283414196464,46.9845869049056,57.3447623646827,181,120,109
"All time","All","Morningside Heights",87551,84919,96.9937522129959,17.8177924373836,43.9218284200066,53.8851640757958,38,138,140
"All time","All","Morrisania/Melrose",102614,99872,97.3278500009745,15.8374070030729,37.1235893737697,49.7095912838404,12,167,162
"All time","All","Mott Haven/Port Morris",100241,97242,97.0082102133857,17.1621263558831,40.6889396554304,51.8939356151674,28,153,150
"All time","All","Mount Hope",201968,197891,97.9813633842985,15.8804760262159,32.2422363938842,45.7458607304127,14,189,186
"All time","All","Murray Hill",88332,85668,96.9841054204592,25.5306681596722,53.1823121858443,60.0054340442875,159,76,83
"All time","All","Murray Hill/Kips Bay",103457,100068,96.7242429221802,21.3485583414176,42.0812511478199,50.5533699991301,93,142,158
"All time","All","New Brighton/Silver Lake",42291,40376,95.4718498025585,21.5278811349887,56.8560686670923,65.0351138540115,97,37,29
"All time","All","New Dorp/Midland Beach",55572,52490,94.4540416036853,26.2104842794249,58.6860289354351,65.7957244655582,164,26,19
"All time","All","New Springville/Bloomfield/Travis",77857,74111,95.1886150249817,22.9082704890762,61.7902051196424,68.4048961557728,119,3,4
"All time","All","North Corona",78006,76321,97.839909750532,22.4312341370558,50.4691946773325,57.1148373202061,109,99,116
"All time","All","North Riverdale/Fieldston/Riverdale",39088,37356,95.5689725747032,27.4196595307045,52.3562218583709,60.6912607449857,171,82,75
"All time","All","North Side/South Side",148070,144186,97.3769163233606,20.285377243592,53.2126696832579,61.7322887823327,75,74,66
"All time","All","Norwood",151073,147389,97.5614438053127,16.2339244987575,37.8095357873346,51.1322340855083,16,161,155
"All time","All","Oakland Gardens",40894,39416,96.3857778647234,27.1817407505989,52.3206338338143,59.0697901892698,169,83,92
"All time","All","Oakwood/Oakwood Beach",46301,43778,94.5508736312391,28.2102589314979,58.8194639424634,66.3981339495907,180,25,15
"All time","All","Ocean Hill",131806,128009,97.1192510204391,24.9752581382517,36.9588637846532,49.0584647132907,151,170,168
"All time","All","Ocean Parkway South",45129,43802,97.0595404285493,28.1709391884125,54.5813113519023,63.0370715061269,178,63,48
"All time","All","Old Astoria",52637,51191,97.2528829530558,18.8556381170705,53.3712027661151,60.6398540950282,52,73,76
"All time","All","Old Town/Dongan Hills/South Beach",52254,49744,95.1965399778007,25.0929135156298,59.9265128028476,66.9747770505607,153,12,9
"All time","All","Ozone Park",52488,50871,96.9192958390489,21.080838021495,59.0192043895748,64.9862825788752,91,22,30
"All time","All","Park Slope/Gowanus",183594,177941,96.9209233417214,22.6204098159649,54.776299879081,62.7166465135026,114,57,50
"All time","All","Parkchester",34034,33268,97.7493095140154,27.579896985767,40.2949991185285,51.8128929893636,174,155,151
"All time","All","Pelham Bay/Country Club/City Island",15273,14413,94.3691481699732,43.7761987932677,51.8693118575264,57.2579061088195,191,88,113
"All time","All","Pelham Parkway",85739,82946,96.7424392633457,22.8572345441305,43.8680180547942,55.629293553692,117,139,126
"All time","All","Pomonok/Flushing Heights/Hillcrest",50918,49211,96.6475509642955,23.0437401672601,59.3856789347578,65.5249617031305,123,18,21
"All time","All","Port Richmond",50285,48047,95.5493685989858,19.4585234386605,55.4757880083524,64.369096151934,58,48,33
"All time","All","Prospect Heights",61367,59502,96.9609073280428,22.9514819773255,45.8960027376277,55.7693874557987,122,127,125
"All time","All","Prospect Lefferts Gardens/Wingate",258775,252892,97.7265964641097,25.9025383730615,36.0510095642933,48.8455221717708,160,177,171
"All time","All","Queens Village",109782,106413,96.9311909056129,21.9020275484219,54.9498096227068,61.4472317866317,102,55,68
"All time","All","Queensboro Hill",37186,36248,97.4775453127521,27.1144298233255,59.4551713010273,64.6856343785296,168,16,31
"All time","All","Queensbridge/Ravenswood/Long Island City",48472,47265,97.5099026241954,16.1156274323273,60.3833140782307,65.9390988611982,15,10,17
"All time","All","Rego Park",49437,48073,97.2409329045047,22.4219307693932,51.8478062989259,59.3442158707041,107,90,91
"All time","All","Richmond Hill",151072,147225,97.4535320906588,20.2140006056102,56.2202128786274,62.5642077949587,72,41,52
"All time","All","Ridgewood",149307,145126,97.1997294165712,18.9757697921735,50.197244603401,58.1620419672219,53,101,103
"All time","All","Rikers Island",108,77,71.2962962962963,14.7662337662338,36.1111111111111,38.8888888888889,5,176,190
"All time","All","Rosedale",49546,47981,96.8413191781375,19.2630854869092,60.5841036612441,66.9458684858515,54,9,10
"All time","All","Rossville/Woodrow",36698,34423,93.8007520845823,27.2361944777911,59.000490489945,65.7719766744782,170,23,20
"All time","All","Rugby/Remsen Village",149264,144858,97.0481830850037,23.9481218934747,41.5612605852717,53.5373566298639,136,147,142
"All time","All","Schuylerville/Throgs Neck/Edgewater Park",82823,78728,95.0557212368545,32.6212129431229,53.8678869396182,60.4179998309648,188,66,78
"All time","All","Seagate/Coney Island",53133,51617,97.1467826021493,20.6710033549192,47.3660437016543,56.9269568817872,84,119,119
"All time","All","Sheepshead Bay/Gerritsen Beach/Manhattan Beach",131473,127442,96.9339712336373,24.3635569462424,55.5855574908917,63.8169053722057,143,46,37
"All time","All","SoHo/TriBeCa/Civic Center/Little Italy",183691,178724,97.2960025259811,19.5777215247093,54.826311577595,61.7836475385294,60,56,64
"All time","All","Soundview/Bruckner",107742,104956,97.4141931651538,16.9950042848239,41.3942566501457,52.7528726030703,27,148,144
"All time","All","Soundview/Castle Hill/Clason Point/Harding Park",65144,63181,96.9866756723566,21.5876977331683,51.1896721110156,58.960149821933,100,95,94
"All time","All","South Jamaica",106141,102693,96.7514909412951,17.7661864087675,51.4560820041266,58.5786830725167,37,94,97
"All time","All","South Ozone Park",177419,172226,97.0730305096974,22.4750141797041,56.6793860860449,62.5209250418501,111,38,53
"All time","All","Springfield Gardens North",36737,35500,96.6328224950323,22.4901038661281,53.5019190461932,59.9749571276914,112,70,84
"All time","All","Springfield Gardens South/Brookville",46517,45263,97.3042113635875,16.854847082722,59.894232216179,66.3714340993615,25,13,16
"All time","All","Spuyten Duyvil/Kingsbridge",63536,61439,96.6995089398137,20.6033132480667,45.0169982372198,56.715877612692,81,132,121
"All time","All","St. Albans",120336,116247,96.6020143597926,20.3979679437821,55.346695918096,62.2066547001728,78,50,56
"All time","All","Stapleton/Rosebank",70673,68295,96.6352072219942,14.4878950506857,56.045448756951,65.0800164136233,2,42,27
"All time","All","Starrett City",7667,7446,97.1175166297118,26.0639144150322,45.0241293856789,57.2062084257206,162,131,115
"All time","All","Steinway",99144,96222,97.0527717259743,21.9070783817818,53.8086016299524,60.8226418139272,103,68,72
"All time","All","Stuyvesant Heights",224395,218001,97.1505603957307,24.925423180842,37.4607277345752,49.3433454399608,150,164,166
"All time","All","Stuyvesant Town/Cooper Village",12047,11685,96.995102515149,15.7890096721732,44.5007055698514,57.3835809745165,11,134,108
"All time","All","Sunset Park East",117352,114352,97.4435885200082,23.4541099878262,48.7976344672438,58.6994682664122,127,109,96
"All time","All","Sunset Park West",125333,122193,97.4946741879633,21.4414933057844,51.876201798409,60.5634589453695,94,87,77
"All time","All","Todt Hill/Emerson Hill/Heartland Village/Lighthouse Hill",64770,61774,95.3744017291956,18.6339503206456,60.129689671144,67.5019299058206,47,11,7
"All time","All","Turtle Bay/East Midtown",104038,100484,96.583940483285,20.8809070900019,46.3763240354486,54.4954728080125,87,125,132
"All time","All","University Heights/Morris Heights",169909,165995,97.6964139627683,15.8579438234867,36.5566273711222,49.4753073704159,13,172,164
"All time","All","Upper East Side/Carnegie Hill",111895,108034,96.5494436748738,20.9932202133966,45.3541266365789,54.1588095982841,89,129,138
"All time","All","Upper West Side",228594,219965,96.2251852629553,20.4406996100609,42.3256953375854,52.6767981661811,79,141,146
"All time","All","Van Cortlandt Village",152623,149355,97.8587762001795,15.4914350944977,40.7710502348925,54.1111103831008,8,152,139
"All time","All","Van Nest/Morris Park/Westchester Square",85809,82779,96.4689018634409,23.6354695747435,47.5614446037129,57.3191623256302,131,118,112
"All time","All","Washington Heights North",256648,250501,97.6048907453009,17.4883342072504,41.1801377762539,52.2661388360712,31,151,148
"All time","All","Washington Heights South",315672,307942,97.5512557337996,21.0311493856631,33.9941458222459,44.4819306115208,90,186,188
"All time","All","West Brighton",11674,11321,96.9761863971218,19.8886426101605,44.3207126948775,55.0625321226658,67,135,128
"All time","All","West Concourse",135006,132093,97.8423181191947,16.510025691309,35.5739744900227,48.0674932965942,20,179,179
"All time","All","West Farms/Bronx River",106004,103338,97.4850005660164,16.7897460889907,37.3514207011056,50.0716954077205,24,166,160
"All time","All","West New Brighton/New Brighton/St. George",91147,87880,96.4156801650082,14.7918507950868,53.0911604331465,63.5544779312539,6,77,40
"All time","All","West Village",198187,192498,97.1294787246389,20.7406295834268,52.0306579139903,59.7501349735351,86,86,86
"All time","All","Westchester/Unionport",69578,67677,97.2678145390784,20.6116275165224,45.3016758170686,55.8797320992268,82,130,124
"All time","All","Westerleigh",55574,52484,94.4398459711376,27.8041673194423,60.8234066289992,67.5441753337892,175,8,6
"All time","All","Whitestone",64813,62645,96.6549920540632,25.170742894586,58.4311789301529,64.4500331723574,154,27,32
"All time","All","Williamsbridge/Olinville",184352,179440,97.33553202569,17.5058693008948,41.700659607707,53.6527946537059,33,146,141
"All time","All","Williamsburg",39050,37872,96.9833546734955,22.1950573698147,59.708066581306,66.8809218950064,104,15,11
"All time","All","Windsor Terrace",38602,37313,96.6607947774727,28.1835066663046,53.8314076990829,62.2454795088337,179,67,55
"All time","All","Woodhaven",120621,117373,97.3072682202933,21.5352084734944,55.7340761558933,62.4012402483813,98,45,54
"All time","All","Woodlawn/Wakefield",111865,107859,96.4188977785724,24.7712977012903,49.068967058508,58.9487328476288,148,107,95
"All time","All","Woodside",87831,85757,97.6386469469777,18.2542871662747,56.6519793694709,63.3785337750908,41,39,45
"All time","All","Yorkville",108717,104969,96.5525170856444,20.1086190598952,41.2253833347131,51.3470754343847,70,150,153
"Within last year","All","Airport",750,656,87.4666666666667,35.4817073170732,28.8,30.9333333333333,191,190,190
"Within last year","All","Allerton/Pelham Gardens",4976,4644,93.3279742765273,6.89047619047619,61.1736334405145,67.1824758842444,4,46,59
"Within last year","All","Annadale/Huguenot/Prince's Bay/Eltingville",6139,5887,95.8950969213227,8.02208588957055,67.3399576478254,73.0249226258348,25,11,10
"Within last year","All","Arden Heights",3425,3278,95.7080291970803,8.63092655717385,65.021897810219,70.6277372262774,48,28,29
"Within last year","All","Astoria",15932,15270,95.8448405724328,9.20367069386677,60.4067285965353,67.6437358774793,75,57,55
"Within last year","All","Auburndale",3668,3403,92.7753544165758,14.1287901531072,57.6335877862595,63.3042529989095,188,90,114
"Within last year","All","Baisley Park",6357,6128,96.3976718577945,9.28709408825978,65.3295579675948,72.0780242252635,77,25,22
"Within last year","All","Bath Beach",5609,5393,96.1490461757889,7.92281626506024,61.7578891067927,69.8698520235336,22,43,35
"Within last year","All","Battery Park City/Lower Manhattan",9526,9060,95.1081251312198,9.76851234156104,55.8681503254251,63.646861221919,103,105,107
"Within last year","All","Bay Ridge",17477,16675,95.4111117468673,7.78689018874751,60.9944498483721,68.6960004577445,18,49,43
"Within last year","All","Bayside/Bayside Hills",8166,7688,94.1464609355866,13.1600740838735,60.7518981141318,66.4217487141808,186,50,71
"Within last year","All","Bedford",16853,16131,95.7158962795941,9.66033239259956,53.1952768053166,61.7041476295022,95,122,125
"Within last year","All","Bedford Park/Fordham North",16582,16133,97.2922446025811,9.76951835005296,43.5230973344591,57.0196598721505,104,178,157
"Within last year","All","Bellerose",3885,3528,90.8108108108108,14.5571593533487,55.7786357786358,61.5444015444015,189,106,126
"Within last year","All","Belmont",7667,7365,96.061040824312,8.92679595738869,44.6589278727012,57.4801095604539,61,167,154
"Within last year","All","Bensonhurst East",10805,10190,94.3081906524757,9.48054762139269,58.7320684868117,67.1818602498843,84,75,60
"Within last year","All","Bensonhurst West",13829,13154,95.1189529250126,8.99478727481794,58.6738014317738,66.0134499963844,62,76,84
"Within last year","All","Borough Park",16272,15495,95.2249262536873,7.98478444632291,63.6615044247788,69.9913962635202,24,32,34
"Within last year","All","Breezy Point/Belle Harbor/Rockaway Park/Broad Channel",302,294,97.3509933774834,7.32413793103448,58.6092715231788,68.8741721854305,8,77,42
"Within last year","All","Briarwood/Jamaica Hills",6198,5974,96.3859309454663,10.0431910569106,59.0190383994837,65.9890287189416,115,72,85
"Within last year","All","Brighton Beach",7450,7176,96.3221476510067,10.1702365952681,52.8322147651007,62.6979865771812,120,128,117
"Within last year","All","Bronxdale",8041,7778,96.7292625295361,9.56463207423866,43.9373212287029,56.6223106578784,90,170,160
"Within last year","All","Brooklyn Heights/Cobble Hill",4255,4037,94.876615746181,11.6210079840319,49.400705052879,57.978848413631,176,145,151
"Within last year","All","Brownsville",10293,9637,93.6267366171184,10.7939139559286,42.2423005926358,53.2303507237929,147,180,185
"Within last year","All","Bushwick North",15831,15201,96.0204661739625,9.66925115970842,50.0915924452025,59.1687196007833,96,142,146
"Within last year","All","Bushwick South",17544,16748,95.4628362973096,9.78989570145295,53.0893752849977,61.9414044687642,105,124,123
"Within last year","All","Cambria Heights",3576,3392,94.8545861297539,11.0773613193403,60.5145413870246,66.4709172259508,158,54,69
"Within last year","All","Canarsie",12238,11521,94.1411995424089,9.19620473537604,61.0802418695865,67.3394345481288,74,47,57
"Within last year","All","Carroll Gardens/Columbia Street/Red Hook",8955,8495,94.8632049134562,9.51091281803931,57.107761027359,64.3997766610832,86,94,102
"Within last year","All","Central Harlem North/Polo Grounds",20268,19259,95.0217090980857,11.2647395833333,46.4031971580817,55.6986382474837,169,158,166
"Within last year","All","Central Harlem South",13819,13197,95.4989507200232,10.5192395785616,54.5625587958608,62.3923583472031,136,115,121
"Within last year","All","Charleston/Richmond Valley/Tottenville",4196,4021,95.8293612964728,7.13733468972533,65.0857959961868,71.6634890371783,6,26,24
"Within last year","All","Chinatown",11659,10894,93.4385453297881,11.1419402846247,53.3664979843897,60.2024187323098,164,121,139
"Within last year","All","Claremont/Bathgate",6062,5873,96.8822170900693,9.00755364806867,47.5750577367206,58.3470801715605,65,151,147
"Within last year","All","Clinton",17075,16242,95.1215226939971,10.772514187022,51.4436310395315,60.5563689604685,146,136,138
"Within last year","All","Clinton Hill",10673,10079,94.4345544832756,9.94424352019289,52.8623629719854,60.7326899653331,112,127,133
"Within last year","All","Co-op City",3221,3106,96.4296802235331,10.4201143625967,54.9208320397392,61.3474076373797,133,109,127
"Within last year","All","College Point",5328,5177,97.1659159159159,8.13528265107212,67.7927927927928,74.3055555555556,32,7,6
